         11962693 function calls (11724789 primitive calls) in 74.513 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.001    0.000    0.109    0.002 transformer.py:120(transform)
       48    0.001    0.000    0.112    0.002 transformer.py:130(parseexpr)
       48    0.000    0.000    0.107    0.002 transformer.py:145(compile_node)
       48    0.000    0.000    0.106    0.002 transformer.py:191(eval_input)
        1    0.000    0.000    0.000    0.000 transformer.py:33(WalkerError)
       48    0.001    0.000    0.150    0.003 transformer.py:49(parse)
    96/48    0.000    0.000    0.105    0.002 transformer.py:574(testlist)
       48    0.000    0.000    0.016    0.000 transformer.py:584(testlist_gexp)
   384/48    0.003    0.000    0.104    0.002 transformer.py:590(test)
   384/48    0.003    0.000    0.103    0.002 transformer.py:604(or_test)
   384/48    0.002    0.000    0.102    0.002 transformer.py:611(and_test)
   384/48    0.003    0.000    0.101    0.002 transformer.py:615(not_test)
   384/48    0.002    0.000    0.101    0.002 transformer.py:622(comparison)
   384/48    0.002    0.000    0.100    0.002 transformer.py:655(expr)
   384/48    0.002    0.000    0.099    0.002 transformer.py:659(xor_expr)
   384/48    0.002    0.000    0.098    0.002 transformer.py:663(and_expr)
   384/48    0.003    0.000    0.097    0.002 transformer.py:667(shift_expr)
   384/48    0.003    0.000    0.096    0.002 transformer.py:680(arith_expr)
   384/48    0.003    0.000    0.095    0.002 transformer.py:692(term)
   384/48    0.003    0.000    0.095    0.002 transformer.py:710(factor)
    96/48    0.001    0.000    0.001    0.000 transformer.py:72(extractLineNo)
   384/48    0.004    0.000    0.094    0.002 transformer.py:723(power)
   384/48    0.002    0.000    0.093    0.002 transformer.py:736(atom)
       48    0.000    0.000    0.017    0.000 transformer.py:739(atom_lpar)
       48    0.000    0.000    0.093    0.002 transformer.py:749(atom_lbrace)
       48    0.000    0.000    0.002    0.000 transformer.py:757(atom_number)
      192    0.001    0.000    0.006    0.000 transformer.py:762(decode_literal)
      192    0.002    0.000    0.008    0.000 transformer.py:773(atom_string)
       48    0.000    0.000    0.000    0.000 transformer.py:779(atom_name)
     2400    0.005    0.000    0.005    0.000 transformer.py:795(lookup_node)
  3072/48    0.015    0.000    0.106    0.002 transformer.py:798(com_node)
        1    0.004    0.004    0.007    0.007 transformer.py:9(<module>)
        1    0.000    0.000    0.000    0.000 transformer.py:94(Transformer)
    37952    0.179    0.000    0.253    0.000 util.py:411(concat)
       48    0.000    0.000    0.007    0.000 utils.py:1004(visitExpression)
      240    0.001    0.000    0.001    0.000 utils.py:1008(visitConst)
       48    0.001    0.000    0.005    0.000 utils.py:1011(visitDict)
       48    0.000    0.000    0.001    0.000 utils.py:1014(visitTuple)
       48    0.000    0.000    0.000    0.000 utils.py:1026(visitName)
       48    0.003    0.000    0.177    0.004 utils.py:1087(safe_eval)
       80    0.002    0.000    0.003    0.000 utils.py:208(is_corpus)
       16    0.001    0.000    0.005    0.000 utils.py:431(unpickle)
   432/48    0.003    0.000    0.007    0.000 utils.py:995(visit)
        1    0.000    0.000    0.000    0.000 visitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 visitor.py:6(ASTVisitor)
