         47362941 function calls in 230.911 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.213    4.213    5.992    5.992 wordnet.py:838(_load_lemma_pos_offset_map)
        1    0.020    0.020    0.042    0.042 wordnet.py:881(_load_exception_map)
     2106    0.010    0.000    0.016    0.000 wordnet.py:975(_data_file)
3306/2806    0.036    0.000    2.029    0.001 wordnet.py:987(_synset_from_pos_and_offset)
    37634    0.180    0.000    0.180    0.000 {_sre.compile}
    37640   15.549    0.000   15.549    0.000 {built-in method findall}
     5018    0.010    0.000    0.010    0.000 {built-in method groups}
       14    0.000    0.000    0.000    0.000 {built-in method group}
     5018    0.028    0.000    0.028    0.000 {built-in method match}
     17/5    0.000    0.000    0.006    0.001 {built-in method sub}
        5    0.000    0.000    0.000    0.000 {getattr}
   113407    0.230    0.000    0.230    0.000 {isinstance}
   157393    0.588    0.000    0.588    0.000 {iter}
2539950/2539891    4.588    0.000    4.588    0.000 {len}
       34    0.000    0.000    0.000    0.000 {max}
    16642    0.033    0.000    0.033    0.000 {method 'add' of 'set' objects}
  3473498    6.545    0.000    6.545    0.000 {method 'append' of 'list' objects}
